video_id,root_mean_velocity,root_mean_acceleration,body_mean_angular_velocity,body_mean_angular_acceleration
Kung_Fu_Wushu_Butterfly_Kick_BKick_14_clip1,0.05031194560244469,0.015060350541516346,0.09323136932950528,0.06609543341583325
Kung_Fu_Wushu_Butterfly_Kick_BKick_16_clip1,0.058576752181233226,0.029312297165245107,0.1380314720479016,0.09805859279457838
Flying_Kick_kung_fu_wushu_1_clip1,0.07292475665076666,0.02331381589796998,0.14369712201936452,0.1077220478958604
Shaolin_Kung_Fu_Wushu_Selfdefense_Sword_Form_Session_1_clip2,0.02774531836404584,0.011613504331391338,0.08888038795485269,0.06476084227762337
Flying_Kick_kung_fu_wushu_1_clip1_clip2,0.07814461085142434,0.028284639008467942,0.15232894686777473,0.12967268843915888
Aerial_Kick_Kungfu_wushu_1_clip1_clip2,0.06254156139671796,0.02588643439454147,0.10725433600236914,0.09046920065694458
Shaolin_Kung_Fu_Wushu_Tornado_Kick_Training_23_clip1,0.02928263725347074,0.013163335123602859,0.04694118866630081,0.06464280866869884
Shaolin_Kung_Fu_Wushu_Tsunami_Kick_1_clip1,0.035272233939029715,0.015108148243364915,0.09286282762006613,0.06602941200484803
Back_Flip_Kungfu_wushu_turn_over_1_clip2,0.034679732681422916,0.019736482883102865,0.06694378507945181,0.06222661724958203
Back_Flip_Kungfu_wushu_turn_over_1_clip4,0.03442401847569682,0.019746877307397298,0.05192985977821236,0.06331308770947218
Shaolin_Kung_Fu_Wushu_Lotus_Kick_1_clip1,0.051490960062327285,0.01988065455249841,0.10660066461159295,0.07511028390482813
Shaolin_Kung_FuWushu_Jumping_Front_Kick_TrainingFlying_Kick_2_clip1_clip1,0.08218305274657542,0.03400045614131317,0.11706063418689894,0.0963965574222921
Shaolin_Kung_Fu_Wushu_Tsunami_Kick_1_clip2,0.042730694643828844,0.019020236098644647,0.12603060074780778,0.09645770476303907
Kung_Fu_Wushu_Butterfly_Kick_BKick_21_clip1,0.009866502977222703,0.004955437333749149,0.1069448139743417,0.0681160190463356
Shaolin_Kung_Fu_Wushu_Kicks__Flying_Kicks_1_clip1,0.038608694674421976,0.015131288496956592,0.09308444988236761,0.07194245339147684
Back_Flip_Kungfu_wushu_Trim12_clip2,0.0352812049152205,0.01716086697571131,0.0974107214334035,0.07325467022160645
Shaolin_Kung_FuWushu_Jumping_Front_Kick_TrainingFlying_Kick_6_clip1_clip1,0.03066221530507905,0.014631214179509376,0.04730357126713387,0.06421690352776807
Kung_Fu_Wushu_Butterfly_Kick_BKick_18_clip1_clip1,0.04307627563951822,0.01629144275872985,0.04950929446304375,0.06569384936062768
Dragon_Sword__Shaolin_Kung_Fu_Wushu_Da_Mo_Sword_5_clip2,0.04133103055731803,0.013643642839072963,0.08608364363853356,0.06294097421454167
Shaolin_KungFu_Staff_Workout_Training_1_clip1_clip1,0.03535165055101938,0.01149477769740213,0.08712887311576062,0.06115768515121315
Back_Flip_Kungfu_wushu_turn_over_1_clip1,0.03515452046514531,0.016841848308350775,0.09312253253280148,0.07217808017592349
Aerial_Kick_Kungfu_wushu_1_clip1_clip1,0.0626247574577453,0.02437235851447311,0.10539417254817009,0.09005993185948494
Shaolin_Kung_Fu_Wushu_Kicks__Flying_Kicks_1_clip3,0.03625811930082263,0.01559571363700782,0.1315799731166331,0.09361768138724245
Aerial_Kick_Kungfu_wushu_turn_over_1_clip2,0.050556006962546786,0.02235851473640802,0.11805118541822913,0.09475156103779231
Boxing_kicking_thai_hop_3_clip2,0.014588158715470275,0.014997010310218519,0.04668245263208629,0.0849320187354008
Kung_Fu_Wushu_Butterfly_Kick_BKick_1_clip1,0.07506230880107252,0.023886848320563366,0.1248736741260031,0.08986797216483126
Shaolin_Kung_FuWushu_Jumping_Front_Kick_TrainingFlying_Kick_11_clip2,0.068383614720986,0.0182113733237534,0.08841271505891118,0.0688058247222031
Shaolin_Kung_Fu_Wushu_Lotus_Kick_1_clip4,0.05307557175198063,0.01818301728170965,0.11696048572277348,0.0805235742154687
Shaolin_Kung_Fu_Wushu_Selfdefense_Sword_Form_Session_5_clip2,0.03411800088488734,0.008552954238902889,0.09169999561053553,0.06218553594899343
Shaolin_Kung_Fu_Wushu_Fundamental_kicks_Training_1_clip1_clip1,0.02607916980712119,0.012814138810785374,0.09435469631908354,0.06907770021171582
Shaolin_Kung_Fu_Wushu_Lotus_Kick_1_clip2,0.053136179765657654,0.020626258869378803,0.11237864436473428,0.08545107231148862
Kung_Fu_Wushu_Butterfly_Kick_BKick_16_clip3,0.05733531297688792,0.02120460226314153,0.10148830478610832,0.06637079728848598
Shaolin_Kung_Fu_Wushu_Cartwheel_Training_1_clip1,0.0645042782841617,0.021501000097116238,0.13041763025360895,0.08370050324669953
Kung_Fu_Wushu_Butterfly_Kick_BKick_16_clip1_clip2,0.057652548938102885,0.021245885581973805,0.09142002774908935,0.06963931031870589
Shaolin_Kung_Fu_Wushu_Kicks__Flying_Kicks_1_clip4,0.04288216220302387,0.017503541778991792,0.10332264713304992,0.07614695346025452
