video_id,root_mean_velocity,root_mean_acceleration,body_mean_angular_velocity,body_mean_angular_acceleration,body_mean_velocity,body_mean_acceleration
after_getting_drunk_clip1,0.007743993258838885,0.002342137418777849,0.010219968357083803,0.0037364592793093228,0.01802769,0.008558176
after_getting_drunk_clip2,0.021404981721741684,0.012253525897060078,0.018248404513760183,0.006198503904003493,0.056795567,0.027881935
after_getting_drunk_clip3,0.006516845235513562,0.004119826189108509,0.009865950685426788,0.0053688624585716245,0.01736995,0.010200449
after_getting_drunk_clip4,0.007957088099056734,0.004387035994112311,0.015708725080915722,0.006302201084457576,0.044148315,0.041954476
after_getting_drunk_clip5,0.010956175293312135,0.005129959971198479,0.02010234565546558,0.006155560935473402,0.045523927,0.039326973
after_getting_drunk_clip6,0.017080594478556428,0.012731701719323587,0.016590603733238538,0.005448836215821854,0.047778763,0.025610812
after_getting_drunk_clip7,0.019170118045152177,0.010045941786176826,0.027196247788268242,0.0075523711780974305,0.1402732,0.1713499
after_getting_drunk_clip8,0.008396103071002768,0.0025120866580134508,0.015257351111559033,0.005500909331182307,0.19045465,0.23007923
after_getting_drunk_v2_clip1,0.016534289190768187,0.004765125966318192,0.023945121250284702,0.007851131365265359,0.19610913,0.32206443
after_getting_drunk_v2_clip2,0.006508250981488734,0.0027048997590682165,0.013803022725006837,0.006495083747159767,0.2132848,0.3879703
after_getting_drunk_v2_clip3,0.008317388211399383,0.003227095688322124,0.018245170565798965,0.006997103881031175,0.1196532,0.18841149
after_getting_drunk_v2_clip4,0.006311965153529837,0.0021094462483235046,0.012244616610492247,0.005012226174623259,0.21186149,0.36042717
after_getting_drunk_v2_clip5,0.00605284428591213,0.002076666841566131,0.01438245940368341,0.005682156706003056,0.1611553,0.26106134
after_getting_drunk_v2_clip6,0.005599249560763626,0.0024941343762333707,0.015323789603821742,0.007078108734902508,0.093930155,0.1599615
after_getting_drunk_v2_clip7,0.006093930884201153,0.002358307067986943,0.012933957665710651,0.005798954652360108,0.044357497,0.057998434
after_getting_drunk_v2_clip8,0.007731841508004857,0.0032377890723238475,0.0122223044397329,0.005739646115153734,0.13943274,0.23605818
