video_id,root_mean_velocity,root_mean_acceleration,body_mean_angular_velocity,body_mean_angular_acceleration,body_mean_velocity,body_mean_acceleration
adjusting_glasses_4_clip1,0.0019291803903723596,0.0010599584290093503,0.002713315244022307,0.0017013941669466496,0.9064853,0.9800775
balloon_animal_1_clip1,0.005657273610869656,0.0033160690654380756,0.004710232366270917,0.002757252367139518,0.4270136,0.7778066
bandaging_14_clip1,0.07428374738708761,0.0684412770103433,0.06457928437022181,0.03492449122994134,0.5513823,0.82738
basketball_dribble_15_clip1,0.016803224862991434,0.005132152726131987,0.025100778661143207,0.010407771363125656,0.48001114,0.78944695
basketball_layup_1_clip1,0.022621393764856217,0.005851991929373773,0.041491029713730546,0.015798820763698138,0.51888436,0.9118924
building_snowman_7_clip1,0.00865267417764531,0.005189484244311355,0.01534078475648101,0.011821164859106734,0.43990597,0.8469635
dice_stack_shuffle_21_clip1,0.016758417027697793,0.010898929264282323,0.006471004843752625,0.00383758734498537,0.4639883,0.8447632
falling_off_chair_4_clip1,0.04542780739468155,0.016467745226735643,0.048193310983443816,0.03201447420996194,0.897798,1.4174953
flamethrower_4_clip1,0.10985778902922788,0.08073569033441423,0.06051404448880036,0.05286819128739565,1.4038435,1.4852186
gangnam_style_dance_18_clip1,0.018736728691620314,0.008797052700686068,0.08519137104419154,0.04481042647795025,0.79538316,1.0954598
gangnam_style_dance_21_clip1,0.024395401535736085,0.010820960384988502,0.05100981561471202,0.027676438355665064,0.58425856,1.0478753
gangnam_style_dance_24_clip1,0.01670843659871743,0.005844278989237389,0.07479540449125834,0.02996391540102843,0.4992482,0.8956213
hammer_throw_11_clip1,0.05630473109038281,0.013003117280823468,0.08208681303781531,0.025228769700869895,0.8589902,0.7259148
hammer_throw_19_clip1,0.060956654177227516,0.01543737899802813,0.08771767304668814,0.027339998303919776,1.0931951,1.1761537
handdrill_firemaking_drill_with_hand_2_clip1,0.005836700319381679,0.00379698623759424,0.008124575559200436,0.004163050980462926,0.6425168,0.8471199
hold_baby_with_wrap_8_clip1,0.0036351800619157755,0.002346142860600464,0.005975787276163264,0.003950380316865392,0.54059213,1.0723804
horizontalbar_spin_23_clip1,0.12642325222235196,0.01351916083219773,0.08612025787498359,0.06047963449523957,0.35221168,0.350953
kayaking_16_clip1,0.024445237802051555,0.009355736211316905,0.07310709182157535,0.05237708505797043,0.67584556,0.99352705
knitting_17_clip1,0.07382649367546541,0.10951213675458264,0.008973819695486962,0.006577420276445835,0.5537436,0.96977717
pirouette_16_clip1,0.03063084286475149,0.015592111744494973,0.06154169863074724,0.02242974545360972,1.1044586,1.074009
pirouette_5_clip1,0.03302960141809149,0.011626742847337125,0.03131606957331535,0.01037309502601729,0.9372418,0.83347505
pirouette_8_clip1,0.02388223536900289,0.009939505872697124,0.038367388914232345,0.013640687190614113,0.72808605,0.62312347
play_hulahoop_10_clip1,0.01547315142773395,0.004728797696391474,0.02711251203526506,0.008128370581670675,0.64645684,1.2273502
play_hulahoop_1_clip1,0.005712592154289561,0.0017118974907515323,0.01567916522467351,0.0046282996044276995,0.60569507,1.1766555
play_hulahoop_8_clip1,0.009240346977872092,0.0021606085894155646,0.02948648064763502,0.008833064324113458,0.5303573,1.0125684
play_hulahoop_clip1,0.00776218810535253,0.007921739915333162,0.014585200060546939,0.017608615674292824,0.69409317,1.3664
play_timpani_17_clip1,0.07488656672867935,0.04979138604102011,0.04155439567313065,0.03337634789491466,0.64915687,0.8710424
putting_scarf_on_19_clip1,0.0031558147136383037,0.0019159794678879909,0.007735478460985582,0.005755541706953895,0.57263476,0.91980565
read_newspaper_8_clip1,0.025380354397940237,0.029636379206953525,0.008275222713340661,0.006060321946718712,0.6774598,1.0079223
rescue_breathing_14_clip1,0.09899475755676372,0.07405169719338667,0.07723470263647501,0.05035062677832094,0.5076516,0.7433696
running_in_place_10_clip1,0.0078158363086378,0.0029790828575633824,0.060048897611935714,0.021306152103851006,0.78318346,1.0985864
sack_race_19_clip1,0.03379432932056442,0.011326917537996443,0.06665812676234702,0.025861864928467596,0.50511575,0.79305965
shaking_head_6_clip1,0.01595009590672855,0.007732605363721466,0.016847680394655458,0.012651766148780441,0.66809416,0.82324755
shoe_shining_5_clip1,0.058658011043094246,0.0492339978766012,0.16665479674073783,0.19253302767321026,0.78978294,0.9122515
shuffle_dance_8_clip1,0.01550367718706384,0.004140817064912763,0.09686428714918881,0.02770740391223448,0.696816,1.1615143
ski_cork_12_clip1,0.04744258024916857,0.01870718998595489,0.09884751602638521,0.05881960442074285,1.0021266,1.2497141
speed_stack_15_clip1,0.01470726915700074,0.006540468448689067,0.010986618380798263,0.005592734753434674,0.7442345,1.2474167
speed_stack_19_clip1,0.007651370674545997,0.004061028246140626,0.009142250112430004,0.00546561014632068,0.6362241,0.9835758
speed_stack_clip1,0.011047563635876629,0.0052988357506038395,0.007717380557008642,0.004084458669657931,0.46114442,0.75148076
unevenbar_spin_17_clip1,0.15876228885026403,0.14906430487859518,0.11035388768380126,0.15997893095657334,0.87264246,0.90492296
unevenbar_spin_9_clip1,0.09739663480087184,0.030730929024364886,0.16999661990884252,0.08212464091399231,0.5356004,0.58599514
unicycle_ride_14_clip1,0.014657590323810303,0.006208391609188208,0.057502497478510196,0.01353631249335494,0.43203935,0.7811192
weightlifting_overhead_5_clip1,0.09277448835073251,0.05441583220584113,0.13218370694902543,0.12683758324224495,0.5429272,0.48857382
